Data_Point,GPS_Point,Tim,Dat,Chan_width,Chan_depth,Hydo_area,Humidity,Air_T_2m,Water_Temp,Avg_Veloc,Discharge,D_50,D_50_Mobil,d18O,dD,Slope,Aspect_D_1,Elevation,Watershed,Typ,DP_Match,Observed,Round,WhyNoDPR2,FieldNotes,AirTDevice,WatTDevice,Spring,SpringcavD,SpringcavW,SpringcavA,FS_NoseeR1,Connected,Fssubsurf,elderfox_f,Latitude,Longitude,x_utm,y_utm,RivL2_Hum,RivL2_AirT,MeasORivHu,MeasORivAT,NewFlowAcc,Slope_1m,flowacc_co,slp_deg_co
409,1000,15:29,8/22/2014 0:00:00,16,1.500000000000000,0.002400000000000,50.899999999999999,22.300000000000001,10.600000000000000,0.000000000000000,0.000000000000000, ,5,-8.199999999999999,-50.000000000000000,20.292999300000002,72.429496799999995,766.273010300000010,Elder,Flow source,695,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,20,20,0.040000000000000,0,0,0,9538.0000000,39.709500204699999,-123.617472973000010,447069.829600000000000,4395697.617700000300000,44.619999999999997,24.930000000000000,1.140744061000000,0.894504613000000,0.0000000,0.000000000000000,11440,23.8669357
410,1001,15:39,8/22/2014 0:00:00,40,0.600000000000000,0.002400000000000,51.000000000000000,22.500000000000000,13.800000000000001,0.000000000000000,0.000000000000000, ,<1,0.000000000000000,0.000000000000000,19.272300699999999,97.447197000000003,781.822021500000010,Elder,Flow source,697,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,65,130,0.845000000000000,0,0,0,1926.0000000,39.707894922199998,-123.617063177000010,447103.731900000010000,4395519.212299999800000,42.759999999999998,24.969999999999999,1.192703461000000,0.901081298000000,0.0000000,0.000000000000000,6551,14.9047613
411,1002,15:55,8/22/2014 0:00:00,30,1.100000000000000,0.003300000000000,49.100000000000001,22.699999999999999,10.199999999999999,0.000000000000000,0.000000000000000, ,5,0.000000000000000,0.000000000000000,27.271600700000000,33.587200199999998,788.849975599999990,Elder,Flow source,698,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, ,15,15,0.022500000000000,0,1,0,60546.0000000,39.706553879600001,-123.615787764999990,447212.042399999980000,4395369.624099999700000,43.770000000000003,24.800000000000001,1.121772904000000,0.915322581000000,0.0000000,0.000000000000000,52452,23.9135628
412,1003,16:01,8/22/2014 0:00:00,30,0.700000000000000,0.002100000000000,49.700000000000003,23.300000000000001,10.900000000000000,0.000000000000000,0.000000000000000, ,3,-8.250000000000000,-49.799999999999997,15.357000400000000,335.894012499999970,793.843994100000030,Elder,Flow source,699,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, ,25,20,0.050000000000000,0,1,0,4209.0000000,39.706547436599998,-123.615541339999990,447233.162200000020000,4395368.764000000400000,42.859999999999999,24.829999999999998,1.159589361000000,0.938380991000000,0.0000000,0.000000000000000,18516,36.8135147
413,1004,16:30,8/22/2014 0:00:00,10,1.000000000000000,0.001000000000000,49.100000000000001,22.500000000000000,12.000000000000000,0.000000000000000,0.000000000000000, ,1,0.000000000000000,0.000000000000000,21.953399699999999,157.895996099999990,779.289001500000040,Elder,Flow source,700,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,40,30,0.120000000000000,0,0,0,292.0000000,39.705607491899997,-123.612982724999990,447451.786199999970000,4395262.941200000200000,42.829999999999998,25.170000000000002,1.146392715000000,0.893921335000000,0.0000000,0.000000000000000,187,28.5102634
414,1005,16:59,8/22/2014 0:00:00,80,0.100000000000000,0.000800000000000,48.500000000000000,22.600000000000001,12.300000000000001,0.000000000000000,0.000000000000000, ,3,-8.160000000000000,-51.100000000000001,36.764301300000000,69.406898499999997,838.018981899999970,Elder,Flow source,703,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,60,150,0.900000000000000,0,0,0,142.0000000,39.703344054299997,-123.612423140000000,447498.041800000010000,4395011.404199999800000,44.890000000000001,24.690000000000001,1.080418802000000,0.915350344000000,0.0000000,0.000000000000000,137,43.2432213
415,1006,17:29,8/22/2014 0:00:00,90,0.100000000000000,0.000900000000000,47.700000000000003,23.000000000000000,12.400000000000000,0.000000000000000,0.000000000000000, ,4,0.000000000000000,0.000000000000000,36.136299100000002,314.307006800000010,856.077026400000020,Elder,Flow source,704,yes,2, ,very little water,Amprobe #2,CaterTemp Plus 221-055,yes,60,90,0.540000000000000,0,0,0,6630.0000000,39.703354575799999,-123.611591774000000,447569.321799999980000,4395012.085599999900000,45.189999999999998,24.120000000000001,1.055543262000000,0.953565506000000,0.0000000,0.000000000000000,3937,48.0388412
416,1007,17:34,8/22/2014 0:00:00,140,0.100000000000000,0.001400000000000,48.100000000000001,22.600000000000001,11.400000000000000,0.000000000000000,0.000000000000000, ,2,0.000000000000000,0.000000000000000,34.587898299999999,344.858001699999990,857.187011699999970,Elder,Flow source,705,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0.000000000000000,0,0,0,187.0000000,39.703335815800003,-123.611667714000010,447562.797299999980000,4395010.047899999700000,46.340000000000003,24.090000000000000,1.037980147000000,0.938148609000000,0.0000000,0.000000000000000,73,41.3686028
417,1008,17:52,8/22/2014 0:00:00,35,0.100000000000000,0.000350000000000,46.899999999999999,23.100000000000001,13.800000000000001,0.000000000000000,0.000000000000000, ,2,0.000000000000000,0.000000000000000,35.425701099999998,337.239990200000020,863.210998499999960,Elder,Flow source,706,yes,2, ,very little water,Amprobe #2,CaterTemp Plus 221-055,yes,40,70,0.280000000000000,0,0,0,15583.0000000,39.703787441300001,-123.610385513000000,447673.060100000000000,4395059.423000000400000,47.219999999999999,23.820000000000000,0.993223211000000,0.969773300000000,0.0000000,0.000000000000000,16160,32.1604233
418,1009,18:48,8/22/2014 0:00:00,20,0.100000000000000,0.000200000000000,45.700000000000003,23.800000000000001,13.800000000000001,0.000000000000000,0.000000000000000, ,N/A,0.000000000000000,0.000000000000000,22.255699199999999,345.747985799999980,797.187011699999970,Elder,In channel,707,yes,2, ,Not enough water for a sample,Amprobe #2,CaterTemp Plus 221-055,likely, ,0,0.000000000000000,0,0,0,43176.0000000,39.704808446800001,-123.610853886000000,447633.679100000010000,4395173.013399999600000,57.670000000000002,20.780000000000001,0.792439743000000,1.145332050000000,0.0000000,0.000000000000000,47156,26.3628616
419,1010,19:15,8/22/2014 0:00:00,42,0.400000000000000,0.001680000000000,50.700000000000003,22.600000000000001,12.800000000000001,0.000000000000000,0.000000000000000, ,2,0.000000000000000,0.000000000000000,30.849800100000000,250.304992700000010,639.616027799999980,Elder,Flow source,708,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0.000000000000000,0,0,1,908.0000000,39.709920824800001,-123.612051607000000,447534.874399999970000,4395741.114699999800000,60.719999999999999,19.840000000000000,0.834980237000000,1.139112903000000,0.0000000,0.000000000000000,21851,12.9481220
420,1011,10:37,8/23/2014 0:00:00,280,14.199999999999999,0.397600000000000,68.700000000000003,19.100000000000001,15.100000000000000,15.359999999999999,0.061071360000000, ,N/A,0.000000000000000,0.000000000000000,5.562429900000000,250.356002800000000,510.364990200000020,Elder,In channel,710,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0.000000000000000,0,0,0,9775450.0000000,39.720158442100001,-123.608825481000000,447819.135200000020000,4396875.463499999600000,42.640000000000001,25.600000000000001,1.611163227000000,0.746093750000000,0.0000000,0.000000000000000,187,3.3012302
421,1012,10:56,8/23/2014 0:00:00,20,1.200000000000000,0.002400000000000,65.700000000000003,20.800000000000001,12.400000000000000,0.000000000000000,0.000000000000000, ,2,0.000000000000000,0.000000000000000,16.878200499999998,24.686300299999999,517.148986799999990,Elder,Flow source,886,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,35,75,0.262500000000000,0,1,0,47.0000000,39.719823190900001,-123.607952692000000,447893.687900000020000,4396837.747700000200000,44.430000000000000,25.620000000000001,1.478730587000000,0.811865730000000,0.0000000,0.000000000000000,0,9.9738111
422,1013,11:09,8/23/2014 0:00:00,40,0.600000000000000,0.002400000000000,63.799999999999997,21.300000000000001,13.300000000000001,0.000000000000000,0.000000000000000, ,7,0.000000000000000,0.000000000000000,23.187500000000000,224.240997300000000,533.322021500000010,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,50,45,0.225000000000000,1,1,0,106.0000000,39.719538498100000,-123.606092625000000,448052.897699999970000,4396805.071399999800000,44.079999999999998,25.719999999999999,1.447368421000000,0.828149300000000,0.0000000,0.000000000000000,20,31.9196072
