Data_Point,GPS_Point,Tim,Dat,Chan_width,Chan_depth,Hydo_area,Humidity,Air_T_2m,Water_Temp,Avg_Veloc,Discharge,D_50,D_50_Mobil,d18O,dD,Slope,Aspect_D_1,Elevation,Watershed,Typ,DP_Match,Observed,Round,R2_Retract,WhyNoDPR2,FieldNotes,AirTDevice,WatTDevice,Spring,Connected,Fssubsurf,Hollow_Fra,elderfox_f,Latitude,Longitude,x_utm,y_utm,RivL2_AirT,RivL2_Hum,MeasORivAT,MeasORivHu,FSClass_si,NewFlowAcc,Slope_1m,flowacc_co,slp_deg_co
1,586,16:53,5/23/2014 0:00:00,226.000000000000000,13.000000000000000,0.293800000000000,29.000000000000000,28.300000000000001,13.500000000000000,19.120000000000001,0.056174560000000,55, ,0.000000000000000,0.000000000000000,1.902546300000000,45.430446600000003,381.618804899999990,Fox,In channel,900,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055, ,0,0,11,2722730.0000000,39.740861488900002,-123.630252476000000,445998.825100000020000,4399185.908200000400000,24.219999999999999,33.770000000000003,1.168455822000000,0.858750370000000,11,0.000000000000000,0.000000000000000,2724584,6.9140763
2,587,17:19,5/23/2014 0:00:00,400.000000000000000,10.300000000000001,0.412000000000000,42.700000000000003,24.699999999999999,13.300000000000001,12.560000000000000,0.051747200000000,48, ,0.000000000000000,0.000000000000000,5.924642100000000,154.907165499999990,400.720275899999990,Fox,In channel,902,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055, ,0,0,11,2642120.0000000,39.742050275399997,-123.627881485000000,446202.901799999990000,4399316.421400000300000,23.480000000000000,36.000000000000000,1.051959114000000,1.186111111000000,11,0.000000000000000,0.000000000000000,2640695,7.7285047
3,588,17:49,5/23/2014 0:00:00,42.000000000000000,1.100000000000000,0.004620000000000,36.399999999999999,23.800000000000001,11.800000000000001,0.000000000000000,0.000000000000000,110, ,0.000000000000000,0.000000000000000,29.145732899999999,321.698486300000010,439.015136700000030,Fox,Flow source,903,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055, ,0,0,0,32438.0000000,39.741804974300003,-123.625848967000000,446376.859799999980000,4399287.978099999900000,22.940000000000001,37.049999999999997,1.037489102000000,0.982456140000000,0,0.000000000000000,0.000000000000000,32987,34.5068932
4,589,18:30,5/23/2014 0:00:00,20.000000000000000,0.600000000000000,0.001200000000000,40.899999999999999,22.100000000000001,10.800000000000001,0.000000000000000,0.000000000000000,30, ,-7.960000000000000,-48.299999999999997,9.291774700000000,24.732315100000001,569.972106899999970,Fox,Flow source,905,yes,1,yes, ,"coming out of clay, like bedrock",Amprobe #2,CaterTemp Plus 221-055,yes,0,0,7,9515.0000000,39.740065795200003,-123.623718981000000,446558.016300000020000,4399093.680400000000000,22.000000000000000,40.500000000000000,1.004545455000000,1.009876543000000,7,0.000000000000000,0.000000000000000,1551,18.0446014
5,590,19:05,5/23/2014 0:00:00,43.000000000000000,0.300000000000000,0.001290000000000,42.399999999999999,22.399999999999999,12.699999999999999,0.000000000000000,0.000000000000000,50, ,0.000000000000000,0.000000000000000,16.782903699999999,172.597457899999990,509.912048299999980,Fox,Flow source,910,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055,yes,0,0,0,9088.0000000,39.744555951300001,-123.621499795000010,446751.619899999990000,4399590.706000000200000,20.989999999999998,44.460000000000001,1.067174845000000,0.953666217000000,0,0.000000000000000,0.000000000000000,12080,27.8393917
6,591,20:02,5/23/2014 0:00:00,38.000000000000000,1.700000000000000,0.006460000000000,50.799999999999997,21.699999999999999,12.100000000000000,0.000000000000000,0.000000000000000,<1, ,0.000000000000000,0.000000000000000,20.642118499999999,295.779174800000020,432.642547600000000,Fox,Flow source,908,yes,1, , ,moss/mugwort all over,Amprobe #2,CaterTemp Plus 221-055,yes,0,0,2,406.0000000,39.742918672199998,-123.623747217000000,446557.800800000030000,4399410.327999999700000,19.329999999999998,55.880000000000003,1.122607346000000,0.909090909000000,2,0.000000000000000,0.000000000000000,159,8.8776979
7,592,20:13,5/23/2014 0:00:00,39.000000000000000,0.800000000000000,0.003237000000000,59.200000000000003,19.800000000000001,11.199999999999999,0.000000000000000,0.000000000000000,5, ,-7.960000000000000,-50.200000000000003,18.866205200000000,321.093414300000010,428.881774899999980,Fox,Flow source,907,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055,yes,0,0,2,4081.0000000,39.742901273699999,-123.624026671000000,446533.843700000030000,4399408.563699999800000,18.320000000000000,59.439999999999998,1.080786026000000,0.995962315000000,2,0.000000000000000,0.000000000000000,1150,8.8155117
8,593,9:13,5/24/2014 0:00:00,168.000000000000000,19.000000000000000,0.319200000000000,77.599999999999994,14.100000000000000,12.100000000000000,20.000000000000000,0.063840000000000,25, ,0.000000000000000,0.000000000000000,3.691381200000000,72.218002299999995,416.859527599999980,Fox,In channel,904,yes,1, , ,water striders,Amprobe #2,CaterTemp Plus 221-055, ,0,0,11,2449850.0000000,39.742280044399998,-123.625773640000010,446383.682099999980000,4399340.659400000200000,18.820000000000000,62.299999999999997,0.749202976000000,1.245585875000000,11,0.000000000000000,0.000000000000000,2451289,6.9119496
9,594,9:29,5/24/2014 0:00:00,43.000000000000000,2.000000000000000,0.008600000000000,77.299999999999997,15.100000000000000,12.100000000000000,0.000000000000000,0.000000000000000,5, ,0.000000000000000,0.000000000000000,17.807880399999998,314.110931400000030,421.560333300000020,Fox,Flow source,906,yes,1, , , ,Amprobe #2,CaterTemp Plus 221-055,yes,0,0,2,52.0000000,39.742448365100003,-123.625264791000010,446427.411000000020000,4399359.036399999600000,19.969999999999999,56.250000000000000,0.756134201000000,1.374222222000000,2,0.000000000000000,0.000000000000000,605,5.9203877
10,595,9:50,5/24/2014 0:00:00,92.000000000000000,6.600000000000000,0.060720000000000,73.000000000000000,16.300000000000001,11.199999999999999,16.719999999999999,0.010152384000000,17, ,0.000000000000000,0.000000000000000,26.248027799999999,160.552902200000010,467.306366000000030,Fox,Flow source,0,yes,1, ,dry, ,Amprobe #2,CaterTemp Plus 221-055,yes,0,0,9,281.0000000,39.743809068600001,-123.621034660000010,446790.897200000010000,4399507.535799999700000,20.680000000000000,56.990000000000002,0.788201161000000,1.280926478000000,7,0.000000000000000,0.000000000000000,417,19.5931892
